ID,Определение,Слово,Частотность,Длина определения,Функциональность,нет,Семантич. категория,Семантич. категория2
89,"Приспособление, которое используется для рассматривания удаленных предметов двумя глазами",Бинокль,"10,6",9,да,конкретное,Приспособление,
90,"Красящая жидкость, используемая для письма",Чернила,"10,5",5,да,конкретное,Предмет быта,
91,Дешевый аналог сливочного масла,Маргарин,2,6,да,конкретное,Еда,
92,"Состояние, в которое впадают животные зимой",Спячка,"2,2",6,да,конкретное,Состояние,Природа
93,"действие, при котором последовательно все колокола издают звук",Перезвон,"1,5",10,да,абстрактное,Процесс,Звук
94,"действие, при котором в земле копаются углубления",Рытьё,1,7,да,абстрактное,Действие,
95,"короткий, устрашающий раскатистый звук, который издают животные",Рык,"2,7",7,да,абстрактное,Звук,Действие
96,"радостное состояние человека, которое он испытывают при осуществлении своего желания",Удовлетворённость,"1,4",10,нет,абстрактное,Состояние,
97,правила поведения в обществе,Этикет,"4,1",8,нет,абстрактное,Общество,
98,"порядок форм обхождения, который принят в определённом обществе",Просвещение,15,10,да,абстрактное,Общество,
99,"математическое понятие, которое обозначает координату точки на оси Х",Абсцисса,"0,9",9,нет,абстрактное,Наука,Образование
100,"действие, при котором животных приучают к выполнению команд",Дрессировка,"1,2",9,да,абстрактное,Действие,
101,"образный оборот речи, отражающий явление жизни, но не содержащий назидания",Поговорка,"9,3",10,нет,абстрактное,Язык,Жанр
102,"состояние, при котором человек не умеет, не может что-либо сделать",Неспособность,"6,6",10,нет,абстрактное,Состояние,
103,"состояние объекта, при котором о существовании объекта никто не знает",Безвестность,"1,2",10,нет,абстрактное,Состояние,
104,"раздел биологии, связанный с защитой окружающей среды",Экология,"11,8",9,нет,абстрактное,Наука,Природа
105,"действие, при котором происходит препарирование трупа для выявления причин смерти",Вскрытие,"6,5",10,да,абстрактное,Действие,Процесс
106,принадлежность произведения его создателю,Авторство,"4,6",4,нет,абстрактное,Человек,Искусство
107,"государство, во главе которого стоит монарх",Королевство,"7,4",6,нет,абстрактное,Общество,Человек
108,"элемент походного снаряжения, в котором можно прилечь на ночлег",Спальник,"1,1",9,да,конкретное,Приспособление,
109,"спинной хребет у человека, который образуется цепью костей",Позвоночник,"8,7",8,нет,конкретное,Физиология,
110,сладкий газированный прохладительный напиток с фруктовым вкусом,Лимонад,"3,1",6,нет,конкретное,Еда,
111,верхняя расширенная часть гвоздя или гриба,Шляпка,"8,2",6,нет,конкретное,Одежда и аксессуары,
112,"вид жилища, располагающийся в вырытом углублении",Землянка,"10,2",6,нет,конкретное,Помещение,
113,"механизм, который позволяет приподнимать тяжести на небольшую высоту",Домкрат,"1,3",8,да,конкретное,Приспособление,
114,"организм, который живёт за счёт другого организма",Паразит,"5,6",7,да,конкретное,Животное,
115,"мешок из шкуры животного, в котором хранят и перевозят жидкости ",Бурдюк,"0,6",10,да,конкретное,Предмет быта,
116,"упругая нить, которая натягивается в музыкальных инструментах и издаёт звук",Струна,"13,8",10,да,конкретное,Приспособление,Искусство
117,"просторечное название живота человека, обычно большого и обвислого",Брюхо,"10,7",8,нет,конкретное,Физиология,
118,"человек, который изготавливает изделия, придавая форму раскаленному металлу",Кузнец,"6,6",7,да,конкретное,Человек,
119,"человек, обладающий большим количеством денег ",Богач,"7,6",5,да,конкретное,Человек,Деньги
120,"небольшая книга, которая содержит краткие и точные сведения по какому-нибудь предмету",Справочник,"11,8",11,да,конкретное,Образование,Наука
121,"произведение искусства из цветного стекла, которое рассчитано на сквозное освещение",Витраж,"3,5",10,нет,конкретное,Искусство,
122,"орудие пытки, на котором растягивали тело истязуемого",Дыба,"1,2",7,да,конкретное,Приспособление,
123,"Человек, который работает моделью для художника или скульптора",Натурщик,"0,4",7,да,конкретное,Человек,Искусство
124,"Человек, который предпочитает проводить время в своем жилище",Домосед,"0,4",8,да,конкретное,Человек,
125,"Переработанный мусор, который вновь используется в производстве",Вторсырье,"0,4",7,да,конкретное,Материал,
126,"Человек, который не способен различать цвета",Дальтоник,"0,5",6,нет,конкретное,Человек,
127,"Человек, оставшийся без жены",Вдовец,"2,2",7,да,конкретное,Человек,
128,"Человек, который не способен различать цвета",Постриг,"1,9",5,да,конкретное,Действие,Религия
129,Механизм для просверливания мелких отверстий,Дрель,"1,4",5,да,конкретное,Приспособление,
130,Комплекс мероприятий для постепенного восстановления здоровья после болезни,Реабилитация,"9,9",4,да,абстрактное,Процесс,
131,Полное или частичное освобождение от тюремного наказания,Амнистия,"8,2",8,да,абстрактное,Общество,Человек
132,"Спокойное, расслабленное наблюдение за окружающим миром",Созерцание,"7,1",6,нет,абстрактное,Процесс,
133,Способность сопротивляться трудностям и сохранять верность своим убеждениям,Стойкость,"7,1",8,да,абстрактное,Свойство,
134,Зеркальное равенство двух частей относительно некой линии,Симметрия,"6,7",8,нет,абстрактное,Свойство,
135,"Состояние крайней усталости, потери сил, вызванное голодом",Истощение,"4,4",7,да,абстрактное,Состояние,
136,"Ощущение полного счастья, восторга, экстаза",Эйфория,"4,4",5,да,абстрактное,Состояние,
137,"Состояние крайней усталости, потери сил, вызванное голодом",Брезгливость,"4,2",5,да,абстрактное,Свойство,
138,"Недоверчивость, настороженное отношение к кому-то или чему-то",Подозрительность,4,7,да,абстрактное,Свойство,
139,Невнимательное отношение к жизни,Беспечность,"3,1",4,да,абстрактное,Состояние,
140,"Крайняя степень приверженности каким-то воззрениям, идеям",Фанатизм,"3,5",5,да,абстрактное,Состояние,
141,"Нарушение правопорядка, которое выражается в уничтожении и порче общественного имущества",Вандализм,"1,3",10,да,абстрактное,Действие,Человек
142,"Нечто прельщающее, искушающее; в религиозной культуре - деяние, вызывающее моральное падение",Соблазн,"13,2",10,нет,абстрактное,Состояние,Человек
143,Очертания фигуры человека в темноте,Силуэт,"12,7",7,нет,конкретное,Искусство,
144,"Внешний вид, облик человека",Наружность,"2,8",4,да,конкретное,Свойство,Человек
145,"Повторное совершение преступления человеком, ранее осужденным за это правонарушение",Рецидив,"2,8",9,да,конкретное,Действие,
146,"Отсутствие порядка и власти, хаос",Анархия,"2,7",5,да,абстрактное,Состояние,Общество
147,"Выражение, высказывание, которое может трактоваться неоднозначно",Двусмысленность,"2,6",6,да,абстрактное,Свойство,
148,Способность почв давать обильный урожай,Плодородие,"2,6",5,да,абстрактное,Природа,Свойство
149,"Отрицательный, негативный взгляд на будущее",Пессимизм,"2,8",5,нет,абстрактное,Свойство,Состояние
150,Незаконное перемещение товаров через государственную границу ,Контрабанда,"4,3",6,нет,абстрактное,Действие,
151,Наука о небесных телах,Астрономия,"6,4",4,нет,абстрактное,Наука,
152,Восстановление произведений искусства в первоначальном виде ,Реставрация,"9,2",6,да,абстрактное,Процесс,Искусство
153,"Газ легче воздуха, которым наполняют воздушные шарики",Гелий,"2,2",7,да,конкретное,Наука,
154,Мифический великан с одним глазом,Циклоп,"1,2",5,нет,конкретное,Человек,
155,Разрешение на обыск или арест,Ордер,"7,1",5,нет,конкретное,Общество,Человек
156,"устройство на крыше, которое передает и принимает радиоволны",Антенна,"8,5",6,да,конкретное,Приспособление,
157,"Кусок текста, заключенный между двумя красными строками",Абзац,"10,2",7,нет,абстрактное,Образование,Наука
158,"Твердая сладость, которая делается из какао-порошка",Шоколад,"10,9",7,нет,конкретное,Еда,
159,Очень горячая вода,Кипяток,11,3,нет,конкретное,Предмет быта,Состояние
160,"Литературный жанр, записки, воспоминания о собственной жизни",Мемуары,"11,8",7,нет,абстрактное,Жанр,Искусство
161,Муж дочери,Зять,12,2,нет,конкретное,Человек,
162,Прочный металлический ящик для хранения ценностей  с замком или кодом,Сейф,"13,1",6,да,конкретное,Приспособление,
163,"Пассажирская платформа на вокзале, место, к которому прибывает поезд",Перрон,"10,6",9,да,конкретное,Приспособление,Место
164,"Волнующее всех сильное впечатление от какого-либо события, новости",Сенсация,"10,5",8,нет,абстрактное,Общество,Состояние
165,"человек, который произносит речь перед  публикой, обладает красноречием и умением убеждать",Оратор,"8,2",11,да,конкретное,Человек,
166,очень сильный дождь,Ливень,"7,1",3,нет,конкретное,Природа,
167,"состояние, при котором человек торопится что-то сделать",Спешка,7,8,нет,абстрактное,Процесс,Состояние
168,"шар из смотанных ниток, шерсти",Клубок,"6,8",5,нет,конкретное,Предмет быта,
169,"состояние человека, при котором хочется спать и снижается активность",Сонливость,"1,7",9,нет,абстрактное,Состояние,
170,"плод дуба, который едят свиньи",Желудь,"1,7",2,нет,конкретное,Природа,
171,критически-недоверчивое отношение к чему-либо,Скептицизм,"1,8",4,нет,абстрактное,Свойство,Состояние
172,"часть песни, которая повторяется после каждого куплета",Припев,"1,9",7,да,абстрактное,Искусство,
173,"Сочувствие мнениям или действиям, общность интересов, единодушие",Солидарность,"10,2",7,нет,абстрактное,Состояние,
174,"Учреждение, занимающееся контролем провоза через границу грузов, багажа, почты",Таможня,"10,2",8,да,конкретное,Общество,Помещение
175,"Лестница на судах, а также передвижная лестница для выхода из самолёта",Трап,"9,7",11,да,конкретное,Приспособление,
176,"Коробка, чехол, куда кладётся вещь, например очки, для хранения",Футляр,8,9,да,конкретное,Приспособление,
177,"Человек, сдающий кровь для переливания раненым или больным",Донор,"7,5",9,нет,конкретное,Человек,
178,"Меновая торговля, прямой безденежный обмен",Бартер,"1,5",5,нет,конкретное,Общество,Система
179,"Приятное замечание в адрес кого-либо, похвала",Комплимент,"10,6",6,да,абстрактное,Человек,Действие
180,Собственноручная надпись или подпись,Автограф,"10,3",4,нет,абстрактное,Человек,Искусство
181,"Поглаживание, растирание, разминание тела с лечебной целью.",Массаж,"9,5",7,да,абстрактное,Процесс,Физиология
182,"Вымышленное имя, используемое человеком в публичной деятельности вместо настоящего",Псевдоним,"9,4",9,нет,абстрактное,Искусство,Язык
183,Вооруженный поединок между двумя лицами на заранее определенных условиях,Дуэль,9,9,нет,абстрактное,Ритуал,Человек
184,"колпак, надеваемый на лампу для направления света книзу",абажур,"4,9",8,да,конкретное,Предмет быта,
185,"городской общественный транспорт, который заправляется бензином",автобус,"64,8",6,нет,конкретное,Транспорт,
186,инструмент для завинчивания винтов и шурупов,отвертка,"2,4",6,да,конкретное,Предмет быта,
187,связка прутьев или веток для подметания пола,веник,"7,7",7,да,конкретное,Предмет быта,
188,"животное, у которого есть горб",верблюд,"11,2",5,нет,конкретное,Животное,
189,"устройство, надеваемое преступнику на руки при задержании",наручники,"7,2",7,да,конкретное,Приспособление,
190,"группа экспертов, присуждающая награды на конкурсах и состязаниях",жюри,"13,1",8,да,абстрактное,Искусство,Человек
191,"пресмыкающееся с длинным извивающимся телом, часто ядовитое",змея,20.5,7,нет,конкретное,Животное,
192,"тропическое растение, у которого вместо листьев колючки",кактус,"4,6",7,нет,конкретное,Природа,
193,"предмет, который используют для раскатывания теста",,"0,7",6,да,конкретное,Предмет быта,
194,"устройство, которое певцы используют для усиления звука",скалка,"16,3",7,да,конкретное,Приспособление,Предмет быта
195,"крытая повозка, в которой ездят короли",карета,"9,4",6,да,конкретное,Транспорт,
196,"устройство, стрелка которого указывает на север",компас,"4,8",6,нет,конкретное,Приспособление,
197,"старинный женский предмет одежды, утягивающий живот",корсет,"1,9",6,да,конкретное,Одежда и аксессуары,
198,"бумажные и картонные отходы, которые направляют на переработку",макулатура,"1,8",8,нет,конкретное,Предмет быта,
199,"чехол, в котором носят пистолет",кобура,"7,9",5,да,конкретное,Предмет быта,
200,"подставка, на которой помещается картина для работы художника",мольберт,"2,3",8,да,конкретное,Предмет быта,Искусство
201,"морское животное, у которого есть щупальца",осьминог,"1,7",6,нет,конкретное,Животное,
202,"предмет, которым вытирают рот за столом",салфетка,"11,3",6,да,конкретное,Предмет быта,
203,"животное, у которого есть хобот",слон,"23,8",5,нет,конкретное,Животное,
204,"ёмкость для жидкостей, позволяющая сохранять их температуру",термос,"3,7",7,да,конкретное,Предмет быта,
205,"предмет, который защищает одежду от загрязнения на кухне",фартук,"6,1",8,да,конкретное,Предмет быта,Одежда и аксессуары
206,"часть скелета, составляющая каркас головы",череп,"26,8",5,нет,конкретное,Физиология,
207,"домашнее животное, у которого есть панцирь",черепаха,"6,3",6,нет,конкретное,Животное,
208,блюдо из жареных кусков мяса на шампуре,шашлык,10,7,нет,конкретное,Еда,
209,спортивное сооружение с полем и трибунами,стадион,"17,6",6,нет,конкретное,Помещение,
210,"детская игрушка, которая может долго крутиться",юла,"0,5",6,нет,конкретное,Игра,
211,"архитектурный элемент, полукруглый проём в стене",арка,"12,9",6,нет,конкретное,Приспособление,
212,специальное отделение для перевозки вещей в автомобиле,багажник,"10,3",7,да,конкретное,Приспособление,
213,"крупное рогатое домашнее животное, самец коровы",бык,"22,2",6,нет,конкретное,Животное,
214,приспособление для ручного прядения пряжи,веретено,"4,2",5,нет,конкретное,Предмет быта,
215,"предмет, который является моделью Земли",глобус,"5,5",5,нет,конкретное,Предмет быта,Приспособление
216,"сладкое блюдо, подаваемое в конце приема пищи",десерт,4,7,нет,конкретное,Еда,
217,"шторы, которые состоят из пластин",жалюзи,"2,1",5,нет,конкретное,Приспособление,Предмет быта
218,"длинная резиновая трубка, из которой можно поливать",шланг,"9,2",7,да,конкретное,,
219,"длинный проход, соединяющий между собой комнаты",коридор,"110,8",6,нет,конкретное,,
220,головоломка из пересекающихся рядов клеток со словами,кроссворд,"2,7",7,нет,конкретное,,
221,цитрусовый кислый плод желтого цвета,лимон,"11,7",5,нет,конкретное,,
222,"приспособление, которое не даёт животному кусаться",намордник,2,6,да,конкретное,,
223,"резервуар, в котором дома держат рыб",аквариум,"8,3",6,да,конкретное,,
224,"человек, который принимает заказы в ресторане",официант,"20,7",6,да,конкретное,человек,
225,"приспособление для защиты от дождя, которое носят в руке",зонт,"5,1",9,да,конкретное,приспособление,
226,пересечение двух или более дорог,перекресток,"13,4",5,нет,конкретное,место,
227,"предмет, которым закрепляют одежду на верёвке",прищепка,"0,5",6,да,конкретное,приспособление,
228,"атмосферное явление, состоящее из полос разного цвета",радуга,"8,1",7,нет,конкретное,природа,
229,"предмет, которым отбивают подачи в бадминтоне",ракетка,"3,3",6,да,конкретное,приспособление,
230,"предмет из сетки, которым ловят насекомых",сачок,"2,7",6,нет,конкретное,приспособление,
231,"небольшой ящик на дереве, домик для птиц",скворечник,"1,8",7,нет,конкретное,место,приспособление
232,"сооружение, в котором из зёрен делают муку",мельница,"10,5",7,да,конкретное,место,приспособление
233,"нерельсовый общественный транспорт, соединенный с проводами",троллейбус,"14,2",6,нет,конкретное,приспособление,транспорт
234,"часть окна, которую открывают для проветривания",форточка,10,6,нет,конкретное,место,приспособление
235,"устройство, которым преграждают железнодорожный переезд",шлагбаум,"3,5",5,да,конкретное,приспособление,
236,"медицинский инструмент, с помощью которого делают укол",шприц,"7,8",7,да,конкретное,приспособление,физиология
237,"предмет, который удерживает морское судно на месте",якорь,"25,9",7,да,конкретное,приспособление,
238,"крупная морская рыба, нападающая на людей",акула,"9,3",6,нет,конкретное,животное,
239,теплая рукавица с отдельным большим пальцем,варежка,"4,2",6,нет,конкретное,одежда и аксессуары,
240,"старинный предмет, которым обмахивались в жару",веер,"6,6",6,да,конкретное,приспособление,
241,"украшение из цветов, сплетенное в виде кольца",венок,"9,1",7,нет,конкретное,одежда и аксессуары,
242,"кнопка, которой можно регулировать свет",выключатель,"5,1",5,да,конкретное,приспособление,
243,"недостаток, нехватка чего-либо, например, товаров",дефицит,"23,3",5,нет,абстрактное,состояние,?
244,"головной убор в виде шлема, защищающий голову от повреждений",каска,"8,1",9,да,конкретное,приспособление,
245,ёмкость для хранения и накопления монет,копилка,"2,2",6,да,конкретное,место,приспособление
246,"человек, который летает на ракете в скафандре",космонавт,"14,6",7,нет,конкретное,человек,
247,спортивный бег на 42 километра,марафон,3,5,нет,конкретное,мероприятие,
248,"башня, которая служит ориентиром для кораблей",маяк,"8,5",6,да,конкретное,место,приспособление
249,"крупный бурый хищник, впадающий зимой в спячку",медведь,"33,4",7,нет,конкретное,животное,
250,"лесная птица с длинным клювом, добывающая пищу из коры",дятел,"3,1",9,нет,конкретное,животное,
251,"девушка, которая скоро станет женой",невеста,"31,7",5,нет,конкретное,человек,
252,грациозное лесное животное с ветвистыми рогами,олень,"15,6",6,нет,конкретное,животное,
253,крупная птица с большим разноцветным хвостом,павлин,8,6,нет,конкретное,животное,
254,"сосуд, в который складывают окурки",пепельница,"9,2",5,да,конкретное,приспособление,
255,"старинный инструмент, с помощью которого писали чернилами",перо,"34,5",7,да,конкретное,приспособление,
256,"морской разбойник, охотящийся за сокровищами",пират,"15,2",5,нет,конкретное,человек,
257,"тропическая птица, которую можно научить разговаривать",попугай,10,6,нет,конкретное,животное,
258,"средство передвижения, на котором отталкиваются ногой от земли",самокат,1,8,нет,конкретное,приспособление,транспорт
259,"таблица, где перечислены все дни в году",календарь,15,7,нет,конкретное,приспособление,
260,"прибор, в который можно наблюдать звезды",телескоп,"3,8",6,да,конкретное,наука,приспособление
261,"предмет, который используют для заострения карандаша",точилка,7,6,да,конкретное,приспособление,
262,"предмет, на котором восседает король",трон,"8,7",5,нет,конкретное,место,приспособление
263,"длинный тонкий инструмент, с помощью которого ловят рыбу",удочка,"8,8",8,да,конкретное,приспособление,
264,"шерстяной предмет одежды, который носят на шее",шарф,"9,6",7,да,конкретное,одежда и аксессуары,
265,настольная игра с разными фигурами на клетчатой доске,шахматы,19,8,нет,конкретное,игра,
266,"плод хвойных растений, покрытый чешуйками",шишка,"9,4",5,нет,конкретное,природа,
